price_id,product_id,vendor_id,size_id,price,size_name,code,mod,addamt,newprice
134,33,4,26,15,N/A,SM-C821,1,0,15
376,89,1,1,19.98,Extra Small (XS),DT156,1,0,19.98
377,89,1,2,19.98,Small (S),DT156,1,0,19.98
378,89,1,3,19.98,Medium (M),DT156,1,0,19.98
379,89,1,4,19.98,Large (L),DT156,1,0,19.98
380,89,1,5,19.98,Extra Large (XL),DT156,1,0,19.98
381,89,1,6,21.98,2X Large (2XL),DT156,1,0,21.98
382,89,1,7,25.98,3X Large (3XL),DT156,1,2,27.98
388,91,1,15,23.98,Large & Tall (LT),TLCS418,2,6,29.98
389,91,1,16,23.98,Extra Large & Tall (XLT),TLCS418,2,0,23.98
390,91,1,17,23.98,2X Large & Tall (2XLT),TLCS418,2,2,25.98
391,91,1,18,23.98,3X Large & Tall (3XLT),TLCS418,2,4,27.98
392,91,1,19,23.98,4X Large & Tall (4XLT),TLCS418,2,6,29.98
473,108,1,1,22.42,Extra Small (XS),LK583,1,8,30.42
474,108,1,2,22.42,Small (S),LK583,1,0,22.42
475,108,1,3,22.42,Medium (M),LK583,1,0,22.42
476,108,1,4,22.42,Large (L),LK583,1,0,22.42
477,108,1,5,22.42,Extra Large (XL),LK583,1,0,22.42
478,108,1,6,22.42,2X Large (2XL),LK583,1,0,22.42
479,108,1,7,22.42,3X Large (3XL),LK583,1,2,24.42
480,108,1,8,22.42,4X Large (4XL),LK583,1,6,28.42
481,109,1,1,5.98,Extra Small (XS),LPC380,11,8,13.98
482,109,1,2,5.98,Small (S),LPC380,11,0,5.98
483,109,1,3,5.98,Medium (M),LPC380,11,0,5.98
484,109,1,4,5.98,Large (L),LPC380,11,0,5.98
485,109,1,5,5.98,Extra Large (XL),LPC380,11,0,5.98
486,109,1,6,5.98,2X Large (2XL),LPC380,11,0,5.98
487,109,1,7,5.98,3X Large (3XL),LPC380,11,2,7.98
488,109,1,8,5.98,4X Large (4XL),LPC380,11,4,9.98
557,120,1,1,60,Extra Small (XS),BB18203,14,4,64
558,120,1,2,60,Small (S),BB18203,14,0,60
559,120,1,3,60,Medium (M),BB18203,14,0,60
560,120,1,4,60,Large (L),BB18203,14,0,60
561,120,1,5,60,Extra Large (XL),BB18203,14,0,60
562,120,1,6,60,2X Large (2XL),BB18203,14,0,60
563,120,1,7,60,3X Large (3XL),BB18203,14,2,62
564,120,1,8,60,4X Large (4XL),BB18203,14,5,65
596,125,1,26,8.14,N/A,BG410,0,7,15.14
617,132,1,15,33.98,Large & Tall (LT),TLS600T,2,0,33.98
618,132,1,16,33.98,Extra Large & Tall (XLT),TLS600T,2,0,33.98
619,132,1,17,33.98,2X Large & Tall (2XLT),TLS600T,2,2,35.98
620,132,1,18,33.98,3X Large & Tall (3XLT),TLS600T,2,4,37.98
621,132,1,19,33.98,4X Large & Tall (4XLT),TLS600T,2,6,39.98
683,146,1,15,61.98,Large & Tall (LT),TLJ754,17,8,69.98
684,146,1,16,61.98,Extra Large & Tall (XLT),TLJ754,17,0,61.98
685,146,1,17,61.98,2X Large & Tall (2XLT),TLJ754,17,4,65.98
686,146,1,18,61.98,3X Large & Tall (3XLT),TLJ754,17,8,69.98
687,146,1,19,61.98,4X Large & Tall (4XLT),TLJ754,17,12,73.98
693,148,1,15,65.26,Large & Tall (LT),TLJ790,17,16,81.26
694,148,1,16,65.26,Extra Large & Tall (XLT),TLJ790,17,0,65.26
695,148,1,17,65.26,2X Large & Tall (2XLT),TLJ790,17,4,69.26
696,148,1,18,65.26,3X Large & Tall (3XLT),TLJ790,17,8,73.26
697,148,1,19,65.26,4X Large & Tall (4XLT),TLJ790,17,12,77.26
713,152,1,2,8.86,Small (S),BC6400,18,16,24.86
714,152,1,3,8.86,Medium (M),BC6400,18,0,8.86
715,152,1,4,8.86,Large (L),BC6400,18,0,8.86
716,152,1,5,8.86,Extra Large (XL),BC6400,18,0,8.86
717,152,1,6,8.86,2X Large (2XL),BC6400,18,0,8.86
804,171,1,1,45,Extra Small (XS),BB18005,19,3,48
805,171,1,2,45,Small (S),BB18005,19,0,45
806,171,1,3,45,Medium (M),BB18005,19,0,45
807,171,1,4,45,Large (L),BB18005,19,0,45
808,171,1,5,45,Extra Large (XL),BB18005,19,0,45
809,171,1,6,45,2X Large (2XL),BB18005,19,0,45
810,171,1,7,45,3X Large (3XL),BB18005,19,1.67,46.67
811,171,1,8,45,4X Large (4XL),BB18005,19,5,50
886,181,1,2,64,Small (S),BB18008,19,6.67,70.67
887,181,1,3,64,Medium (M),BB18008,19,0,64
888,181,1,4,64,Large (L),BB18008,19,0,64
889,181,1,5,64,Extra Large (XL),BB18008,19,0,64
890,181,1,6,64,2X Large (2XL),BB18008,19,0,64
891,181,1,7,64,3X Large (3XL),BB18008,19,1.67,65.67
892,181,1,8,64,4X Large (4XL),BB18008,19,5,69
901,183,1,1,25.98,Extra Small (XS),K831,1,6.67,32.65
902,183,1,2,25.98,Small (S),K831,1,0,25.98
903,183,1,3,25.98,Medium (M),K831,1,0,25.98
904,183,1,4,25.98,Large (L),K831,1,0,25.98
905,183,1,5,25.98,Extra Large (XL),K831,1,0,25.98
906,183,1,6,25.98,2X Large (2XL),K831,1,0,25.98
907,183,1,7,25.98,3X Large (3XL),K831,1,2,27.98
908,183,1,8,25.98,4X Large (4XL),K831,1,6,31.98
918,185,3,2,17.5,Small (S),18500,20,8,25.5
919,185,3,3,17.5,Medium (M),18500,20,0,17.5
920,185,3,4,17.5,Large (L),18500,20,0,17.5
921,185,3,5,17.5,Extra Large (XL),18500,20,0,17.5
922,185,3,6,17.5,2X Large (2XL),18500,20,0,17.5
923,185,3,7,17.5,3X Large (3XL),18500,20,4.65,22.15
924,185,3,8,17.5,4X Large (4XL),18500,20,5.65,23.15
926,186,4,2,5,Small (S),SM-8000,21,5.65,10.65
927,186,4,3,5,Medium (M),SM-8000,21,0,5
928,186,4,4,5,Large (L),SM-8000,21,0,5
929,186,4,5,5,Extra Large (XL),SM-8000,21,0,5
930,186,4,6,5,2X Large (2XL),SM-8000,21,0,5
931,186,4,7,5,3X Large (3XL),SM-8000,21,3,8
932,186,4,8,5,4X Large (4XL),SM-8000,21,5,10
934,187,4,2,8,Small (S),SM-8400,21,5,13
935,187,4,3,8,Medium (M),SM-8400,21,0,8
936,187,4,4,8,Large (L),SM-8400,21,0,8
937,187,4,5,8,Extra Large (XL),SM-8400,21,0,8
938,187,4,6,8,2X Large (2XL),SM-8400,21,0,8
940,188,4,2,19,Small (S),SM-996M,21,3,22
941,188,4,3,19,Medium (M),SM-996M,21,0,19
942,188,4,4,19,Large (L),SM-996M,21,0,19
943,188,4,5,19,Extra Large (XL),SM-996M,21,0,19
944,188,4,6,19,2X Large (2XL),SM-996M,21,0,19
945,188,4,7,19,3X Large (3XL),SM-996M,21,3,22
947,189,4,2,44,Small (S),SM-BB18004,21,5,49
948,189,4,3,44,Medium (M),SM-BB18004,21,0,44
949,189,4,4,44,Large (L),SM-BB18004,21,0,44
950,189,4,5,44,Extra Large (XL),SM-BB18004,21,0,44
951,189,4,6,44,2X Large (2XL),SM-BB18004,21,0,44
953,191,4,26,9,N/A,SM-C812,1,3,12
954,194,4,1,17,Extra Small (XS),SM-DT156,21,0,17
955,194,4,2,17,Small (S),SM-DT156,21,0,17
956,194,4,3,17,Medium (M),SM-DT156,21,0,17
957,194,4,4,17,Large (L),SM-DT156,21,0,17
958,194,4,5,17,Extra Large (XL),SM-DT156,21,0,17
959,194,4,6,17,2X Large (2XL),SM-DT156,21,0,17
960,194,4,7,17,3X Large (3XL),SM-DT156,21,3,20
961,194,4,8,17,4X Large (4XL),SM-DT156,21,5,22
963,196,1,1,29.98,Extra Small (XS),L151,1,5,34.98
964,196,1,2,29.98,Small (S),L151,1,0,29.98
965,196,1,3,29.98,Medium (M),L151,1,0,29.98
966,196,1,4,29.98,Large (L),L151,1,0,29.98
967,196,1,5,29.98,Extra Large (XL),L151,1,0,29.98
968,196,1,6,29.98,2X Large (2XL),L151,1,0,29.98
969,196,1,7,29.98,3X Large (3XL),L151,1,2,31.98
970,196,1,8,29.98,4X Large (4XL),L151,1,6,35.98
971,197,1,1,42,Extra Small (XS),BB18007,14,8,50
972,197,1,2,42,Small (S),BB18007,14,0,42
973,197,1,3,42,Medium (M),BB18007,14,0,42
974,197,1,4,42,Large (L),BB18007,14,0,42
