product_id,code,name,image,description,keep,,
148,TLJ790,Port Authority Tall Glacier Soft Shell Jacket,product-images/TLJ790.jpg," The Glacier is constructed from a polyester stretch woven shell, which is then bonded to polyester microfleece with an added laminate film insert to repel water.",1,,
212,SM-64000L,Gildan Softstyle Ladies T-Shirt,product-images/SM-6400L.jpg,"4.5-ounce, 100% ring spun cotton, tear away label, seam fitted.",1,,
187,SM-8400,SanMar 8400,product-images/SM-8400.jpg,"5.5-ounce, 50/50 cotton/poly",1,,
185,18500,Gildan - Heavy Blend Hooded Sweatshirt,product-images/18500.jpg,"8-ounce, 50/50 cotton/poly hooded sweatshirt with front pouch pocket.",1,,
188,SM-996M,SanMar Hoodie,product-images/SM-996M.jpg,"8-ounce, 50/50 cotton/poly NuBlend pill-resistant fleece",1,,
201,LSW285,Port Authority Ladies V-Neck Sweater,product-images/LSW285.jpg,"A beautiful and versatile addition to any work wardrobe, our fine-gauge v-neck sweater has fully-fashioned sleeves for strength, comfort and longer wear.",1,,
134,TLK500LS,Port Authority Tall Silk Touch Long Sleeve Polo,product-images/TLK500LS.jpg,"A favorite for years, our Silk Touch polo is soft, supple and easy to care for. ",0,,
39,L500LS,Port Authority Ladies Silk Touch Long Sleeve Polo,product-images/L500LS.jpg,"A favorite for years, our Silk Touch polo is soft, supple and easy to care for. The silky smooth pique knit resists wrinkles while the classic long sleeve style looks great on everyone.",0,,
384,SM-L500LS,Port Authority  Ladies Silk Touch  Long Sleeve Polo,product-images/SM-L500LS.jpg,"A favorite for years, our Silk Touch™ polo is soft, supple and easy to care for. The silky smooth pique knit resists wrinkles while the classic long sleeve style looks great on everyone.",1,,
424,SM-TLK500LS,Port Authority  Tall Silk Touch  Long Sleeve Polo,product-images/SM-TLK500LS.jpg,"A favorite for years, our Silk Touch™ polo is soft, supple and easy to care for. The silky smooth pique knit resists wrinkles while the classic long sleeve style looks great on everyone.",1,,
130,TLK420,Port Authority Tall Heavyweight Cotton Pique Polo,product-images/TLK420.jpg,"A favorite year after year, these polos are known for their exceptional range of colors, styles and sizes.",0,,
437,SM-TLK420,Port Authority  Tall Heavyweight Cotton Pique Polo,product-images/SM-TLK420.jpg,"A favorite year after year, these polos are known for their exceptional range of colors, styles and sizes. The soft pique knit is shrink-resistant and easy to care for, so your group will always look its best.",1,,
389,SM-L654,Port Authority  Ladies Long Sleeve Gingham Easy Care Shirt,product-images/SM-L654.jpg,"A fresh alternative to a solid-color shirt, our gingham check pattern is office-ready. Crafted in an Easy Care blend, this poplin style resists wrinkles and features bias-cut details.",1,,
199,LOG130,OGIO Ladies Metro Polo,product-images/LOG130.jpg,"A fresh, fashionable style that performs with big-city sophistication.",1,,
